# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsStored,1739762870491000000,1739762930673000000,0
VFS.fileChildByName,1739762870491000000,1739762930673000000,0
FileNameCache.queries,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsStoredSize,1739762870491000000,1739762930673000000,0
VFS.fileByIdCache.misses,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsUncompressedSize,1739762870491000000,1739762930673000000,0
FileNameCache.totalMisses,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsDeduplicated,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsStoredCompressed,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsRead,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsReadSize,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1739762870491000000,1739762930673000000,0
VFS.contentStorage.recordsReadDecompressed,1739762870491000000,1739762930673000000,0
VFS.invertedFileNameIndex.requests,1739762870491000000,1739762930673000000,0
cacheStateStorage.get.duration,1739762870491000000,1739762930673000000,0
cacheStateStorage.get.counter,1739762870491000000,1739762930673000000,6
cacheStateStorage.set.duration,1739762870491000000,1739762930673000000,2
cacheStateStorage.set.counter,1739762870491000000,1739762930673000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1739762870491000000,1739762930673000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1739762870491000000,1739762930673000000,0
DiskQueryRelay.tasksExecuted,1739762870491000000,1739762930673000000,0
DiskQueryRelay.tasksRequested,1739762870491000000,1739762930673000000,0
jps.save.global.entities.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.instances.count,1739762870491000000,1739762930673000000,1
jps.global.initialize.library.bridges.after.loading.ms,1739762870491000000,1739762930673000000,1
jps.library.entities.serializer.load.entities.ms,1739762870491000000,1739762930673000000,0
workspaceModel.load.cache.from.file.ms,1739762870491000000,1739762930673000000,0
workspaceModel.global.apply.state.to.project.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1739762870491000000,1739762930673000000,0
jps.global.get.library.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1739762870491000000,1739762930673000000,0
workspaceModel.global.updates.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1739762870491000000,1739762930673000000,0
jps.global.handle.changed.events.ms,1739762870491000000,1739762930673000000,0
workspaceModel.global.updates.count,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1739762870491000000,1739762930673000000,0
workspaceModel.save.cache.to.file.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1739762870491000000,1739762930673000000,0
workspaceModel.load.cache.metadata.from.file.ms,1739762870491000000,1739762930673000000,0
jps.global.handle.before.change.events.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1739762870491000000,1739762930673000000,0
jps.library.entities.serializer.save.entities.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1739762870491000000,1739762930673000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1739762870491000000,1739762930673000000,0
jps.app.storage.content.reader.load.component.ms,1739762870491000000,1739762930673000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.entities.ms,1739762870491000000,1739762930673000000,0
workspaceModel.sync.entities.ms,1739762870491000000,1739762930673000000,0
jps.global.get.libraries.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1739762870491000000,1739762930673000000,0
jps.global.get.library.by.name.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1739762870491000000,1739762930673000000,0
jps.global.initialize.library.bridges.ms,1739762870491000000,1739762930673000000,0
jps.load.initial.state.ms,1739762870491000000,1739762930673000000,11
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1739762870491000000,1739762930673000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1739762870491000000,1739762930673000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1739762870491000000,1739762930673000000,2
Indexing.totalTimeIndexersSleptMs,1739762870491000000,1739762930673000000,0
Indexing.cache.totalCacheEvicted,1739762870491000000,1739762930673000000,0
IndexesFlusher.totalFlushesRetried,1739762870491000000,1739762930673000000,0
IndexesFlusher.totalFlushingTimeUs,1739762870491000000,1739762930673000000,346186
Indexing.cache.totalCacheAccesses,1739762870491000000,1739762930673000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1739762870491000000,1739762930673000000,0
IndexesFlusher.totalContentionQuotaSpent,1739762870491000000,1739762930673000000,0
Indexing.writesQueuedMax,1739762870491000000,1739762930673000000,0
Indexing.writesQueuedMin,1739762870491000000,1739762930673000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1739762870491000000,1739762930673000000,0
IndexesFlusher.totalFlushes,1739762870491000000,1739762930673000000,59
Indexing.cache.totalCacheMisses,1739762870491000000,1739762930673000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1739762870491000000,1739762930673000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1739762870491000000,1739762930673000000,0
FilePageCache.pageHits,1739762870491000000,1739762930673000000,0
FilePageCache.disposedBuffers,1739762870491000000,1739762930673000000,5
FilePageCacheLockFree.totalPageAllocationsWaited,1739762870491000000,1739762930673000000,0
