# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.from.cache.count,1739781904610000000,1739781965559000000,0
workspaceModel.init.bridges.ms,1739781904610000000,1739781965559000000,29
workspaceModel.updates.count,1739781904610000000,1739781965559000000,8
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739781904610000000,1739781965559000000,2
workspaceModel.replace.project.model.ms,1739781904610000000,1739781965559000000,8
workspaceModel.cachedValue.from.cache.count,1739781904610000000,1739781965559000000,539
workspaceModel.workspaceFileIndexData.init.ms,1739781904610000000,1739781965559000000,85
workspaceModel.loading.total.ms,1739781904610000000,1739781965559000000,114
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739781904610000000,1739781965559000000,8
workspaceModel.to.snapshot.ms,1739781904610000000,1739781965559000000,0
workspaceModel.collect.changes.ms,1739781904610000000,1739781965559000000,0
workspaceModel.check.recursive.update.ms,1739781904610000000,1739781965559000000,1
workspaceModel.cachedValue.calculated.count,1739781904610000000,1739781965559000000,37
workspaceModel.full.replace.project.model.ms,1739781904610000000,1739781965559000000,7
workspaceModel.pre.handlers.ms,1739781904610000000,1739781965559000000,1
workspaceModel.cachedValue.clear.count,1739781904610000000,1739781965559000000,6
workspaceModel.on.changed.ms,1739781904610000000,1739781965559000000,35
workspaceModel.on.before.changed.ms,1739781904610000000,1739781965559000000,22
workspaceModel.workspaceFileIndexData.instances.count,1739781904610000000,1739781965559000000,2
workspaceModel.cachedValueWithParameters.calculated.count,1739781904610000000,1739781965559000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1739781904610000000,1739781965559000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739781904610000000,1739781965559000000,152
workspaceModel.cachedValue.total.get.count,1739781904610000000,1739781965559000000,576
workspaceModel.update.unloaded.entities.ms,1739781904610000000,1739781965559000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739781904610000000,1739781965559000000,0
workspaceModel.cachedValueWithParameters.clear.count,1739781904610000000,1739781965559000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739781904610000000,1739781965559000000,7
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739781904610000000,1739781965559000000,130
workspaceModel.workspaceFileIndexData.markDirty.ms,1739781904610000000,1739781965559000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739781904610000000,1739781965559000000,0
