# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1739763105649000000,1739763165665000000,12
VFS.contentStorage.recordsStoredSize,1739763105649000000,1739763165665000000,58993
VFS.contentStorage.recordsStoredCompressed,1739763105649000000,1739763165665000000,3
FileNameCache.queries,1739763105649000000,1739763165665000000,385920
VFS.contentStorage.recordsReadSize,1739763105649000000,1739763165665000000,10788
VFS.contentStorage.recordsDeduplicated,1739763105649000000,1739763165665000000,1
VFS.contentStorage.recordsReadDecompressed,1739763105649000000,1739763165665000000,0
FileNameCache.totalMisses,1739763105649000000,1739763165665000000,33728
VFS.invertedFileNameIndex.requests,1739763105649000000,1739763165665000000,2
VFS.contentStorage.recordsDecompressionTimeUs,1739763105649000000,1739763165665000000,0
VFS.contentStorage.recordsStored,1739763105649000000,1739763165665000000,8
VFS.fileByIdCache.misses,1739763105649000000,1739763165665000000,73
VFS.fileChildByName,1739763105649000000,1739763165665000000,3799
VFS.contentStorage.recordsRead,1739763105649000000,1739763165665000000,15
VFS.contentStorage.recordsUncompressedSize,1739763105649000000,1739763165665000000,230123
JVM.totalCpuTimeMs,1739763105649000000,1739763165665000000,44890
JVM.maxThreadCount,1739763105649000000,1739763165665000000,83
JVM.maxHeapBytes,1739763105649000000,1739763165665000000,2147483648
JVM.GC.collectionTimesMs,1739763105649000000,1739763165665000000,170
JVM.totalDirectByteBuffersBytes,1739763105649000000,1739763165665000000,250966018
JVM.usedNativeBytes,1739763105649000000,1739763165665000000,379746400
OS.loadAverage,1739763105649000000,1739763165665000000,1.55908203125
JVM.usedHeapBytes,1739763105649000000,1739763165665000000,259166960
JVM.totalTimeAtSafepointsMs,1739763105649000000,1739763165665000000,186
JVM.GC.collections,1739763105649000000,1739763165665000000,31
JVM.totalBytesAllocated,1739763105649000000,1739763165665000000,1254363064
JVM.threadCount,1739763105649000000,1739763165665000000,83
JVM.totalSafepointCount,1739763105649000000,1739763165665000000,301
JVM.totalTimeToSafepointsMs,1739763105649000000,1739763165665000000,49
JVM.newThreadsCount,1739763105649000000,1739763165665000000,90
FilePageCache.maxCacheSizeInBytes,1739763105649000000,1739763165665000000,248528896
FilePageCacheLockFree.totalPagesReclaimed,1739763105649000000,1739763165665000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1739763105649000000,1739763165665000000,0
StreamlinedBlobStorage.recordsDeleted,1739763105649000000,1739763165665000000,3
