# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsStoredCompressed,1739762989422000000,1739763049489000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1739762989422000000,1739763049489000000,348
VFS.contentStorage.recordsReadSize,1739762989422000000,1739763049489000000,274325
VFS.fileByIdCache.hits,1739762989422000000,1739763049489000000,2
VFS.contentStorage.recordsReadDecompressed,1739762989422000000,1739763049489000000,5
FileNameCache.totalMisses,1739762989422000000,1739763049489000000,37248
VFS.invertedFileNameIndex.requests,1739762989422000000,1739763049489000000,6
VFS.contentStorage.recordsUncompressedSize,1739762989422000000,1739763049489000000,0
VFS.fileByIdCache.misses,1739762989422000000,1739763049489000000,376
VFS.contentStorage.recordsRead,1739762989422000000,1739763049489000000,15
VFS.contentStorage.recordsStoredSize,1739762989422000000,1739763049489000000,0
FileNameCache.queries,1739762989422000000,1739763049489000000,647040
VFS.contentStorage.recordsDeduplicated,1739762989422000000,1739763049489000000,2
VFS.fileChildByName,1739762989422000000,1739763049489000000,3352
VFS.contentStorage.recordsStored,1739762989422000000,1739763049489000000,0
workspaceModel.cachedValue.total.get.count,1739762989422000000,1739763049489000000,398
workspaceModel.cachedValue.from.cache.count,1739762989422000000,1739763049489000000,362
workspaceModel.entityStorageSnapshotImpl.instances.count,1739762989422000000,1739763049489000000,45
workspaceModel.full.replace.project.model.ms,1739762989422000000,1739763049489000000,14
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739762989422000000,1739763049489000000,0
workspaceModel.on.changed.ms,1739762989422000000,1739763049489000000,34
workspaceModel.updates.ms,1739762989422000000,1739763049489000000,66
workspaceModel.collect.changes.ms,1739762989422000000,1739763049489000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1739762989422000000,1739763049489000000,0
workspaceModel.to.snapshot.ms,1739762989422000000,1739763049489000000,1
workspaceModel.cachedValueWithParameters.clear.count,1739762989422000000,1739763049489000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739762989422000000,1739763049489000000,142
workspaceModel.update.unloaded.entities.ms,1739762989422000000,1739763049489000000,0
workspaceModel.check.recursive.update.ms,1739762989422000000,1739763049489000000,1
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739762989422000000,1739763049489000000,54
workspaceModel.replace.project.model.ms,1739762989422000000,1739763049489000000,0
workspaceModel.cachedValue.clear.count,1739762989422000000,1739763049489000000,6
workspaceModel.cachedValueWithParameters.from.cache.count,1739762989422000000,1739763049489000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739762989422000000,1739763049489000000,0
workspaceModel.workspaceFileIndexData.init.ms,1739762989422000000,1739763049489000000,35
workspaceModel.pre.handlers.ms,1739762989422000000,1739763049489000000,0
workspaceModel.workspaceFileIndexData.instances.count,1739762989422000000,1739763049489000000,2
workspaceModel.cachedValue.calculated.count,1739762989422000000,1739763049489000000,36
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739762989422000000,1739763049489000000,0
workspaceModel.on.before.changed.ms,1739762989422000000,1739763049489000000,32
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739762989422000000,1739763049489000000,9
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739762989422000000,1739763049489000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739762989422000000,1739763049489000000,17
workspaceModel.loading.from.cache.ms,1739762989422000000,1739763049489000000,113
workspaceModel.updates.count,1739762989422000000,1739763049489000000,8
workspaceModel.initializing.ms,1739762989422000000,1739763049489000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1739762989422000000,1739763049489000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1739762989422000000,1739763049489000000,0
workspaceModel.updates.precise.ms,1739762989422000000,1739763049489000000,8
workspaceModel.init.bridges.ms,1739762989422000000,1739763049489000000,1
workspaceModel.loading.total.ms,1739762989422000000,1739763049489000000,119
Indexes.stubs.lookups,1739762989422000000,1739763049489000000,914
Indexing.totalTimeIndexersSleptMs,1739762989422000000,1739763049489000000,0
IndexesFlusher.totalFlushes,1739762989422000000,1739763049489000000,59
Indexes.entries.lookupDurationAvgMs,1739762989422000000,1739763049489000000,0.0
Indexes.allKeys.lookupDuration90PMs,1739762989422000000,1739763049489000000,0.0
Indexes.entries.lookupDurationMaxMs,1739762989422000000,1739763049489000000,0.0
IndexesFlusher.totalFlushesRetried,1739762989422000000,1739763049489000000,0
Indexes.stubs.lookupDurationAvgMs,1739762989422000000,1739763049489000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1739762989422000000,1739763049489000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1739762989422000000,1739763049489000000,0
Indexing.cache.totalCacheAccesses,1739762989422000000,1739763049489000000,2139
IndexesFlusher.totalFlushingTimeUs,1739762989422000000,1739763049489000000,253610
Indexes.stubs.lookupDurationMaxMs,1739762989422000000,1739763049489000000,0.0
Indexes.entries.lookupDuration90PMs,1739762989422000000,1739763049489000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1739762989422000000,1739763049489000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1739762989422000000,1739763049489000000,0.0
Indexing.writesQueuedMax,1739762989422000000,1739763049489000000,0
Indexing.cache.totalCacheMisses,1739762989422000000,1739763049489000000,1028
Indexing.cache.totalCacheEvicted,1739762989422000000,1739763049489000000,1028
Indexing.writer_3.totalTimeSpentWritingMs,1739762989422000000,1739763049489000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1739762989422000000,1739763049489000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1739762989422000000,1739763049489000000,0
Indexes.allKeys.lookups,1739762989422000000,1739763049489000000,0
Indexing.writesQueuedMin,1739762989422000000,1739763049489000000,9223372036854775807
Indexes.entries.lookups,1739762989422000000,1739763049489000000,48
Indexes.stubs.lookupDuration90PMs,1739762989422000000,1739763049489000000,0.0
jps.facet.change.listener.before.change.events.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1739762989422000000,1739763049489000000,5
jps.global.get.library.by.name.ms,1739762989422000000,1739763049489000000,0
workspaceModel.global.updates.count,1739762989422000000,1739763049489000000,3
jps.modifiable.module.model.bridge.renaming.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1739762989422000000,1739763049489000000,0
jps.modifiable.module.model.bridge.disposing.ms,1739762989422000000,1739763049489000000,0
jps.facet.change.listener.process.change.events.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1739762989422000000,1739763049489000000,0
jps.module.iml.entities.serializer.save.entities.ms,1739762989422000000,1739763049489000000,14
jps.artifact.entities.serializer.save.entities.ms,1739762989422000000,1739763049489000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1739762989422000000,1739763049489000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1739762989422000000,1739763049489000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1739762989422000000,1739763049489000000,0
jps.global.initialize.library.bridges.after.loading.ms,1739762989422000000,1739763049489000000,1
jps.library.entities.serializer.load.entities.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1739762989422000000,1739763049489000000,5
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1739762989422000000,1739763049489000000,3
jps.save.changed.project.entities.ms,1739762989422000000,1739763049489000000,20
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1739762989422000000,1739763049489000000,1
jps.reload.project.entities.ms,1739762989422000000,1739763049489000000,1
workspaceModel.do.save.caches.ms,1739762989422000000,1739763049489000000,39
workspaceModel.moduleManagerBridge.load.all.modules.ms,1739762989422000000,1739763049489000000,65
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1739762989422000000,1739763049489000000,1
jps.global.initialize.library.bridges.ms,1739762989422000000,1739763049489000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1739762989422000000,1739763049489000000,21
workspaceModel.moduleBridge.before.changed.ms,1739762989422000000,1739763049489000000,0
jps.apply.loaded.storage.ms,1739762989422000000,1739763049489000000,23
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1739762989422000000,1739763049489000000,0
workspaceModel.global.updates.ms,1739762989422000000,1739763049489000000,7
workspaceModel.moduleBridge.update.option.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1739762989422000000,1739763049489000000,3
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1739762989422000000,1739763049489000000,1
jps.library.entities.serializer.save.entities.ms,1739762989422000000,1739763049489000000,0
workspaceModel.load.cache.from.file.ms,1739762989422000000,1739763049489000000,119
jps.artifact.entities.serializer.load.entities.ms,1739762989422000000,1739763049489000000,0
jps.module.iml.entities.serializer.load.entities.ms,1739762989422000000,1739763049489000000,11
jps.load.project.to.empty.storage.ms,1739762989422000000,1739763049489000000,39
workspaceModel.mutableEntityStorage.instances.count,1739762989422000000,1739763049489000000,65
workspaceModel.moduleBridgeLoader.loading.modules.ms,1739762989422000000,1739763049489000000,349
workspaceModel.mutableEntityStorage.entities.ms,1739762989422000000,1739763049489000000,1
jps.load.initial.state.ms,1739762989422000000,1739763049489000000,10
jps.facet.change.listener.init.bridge.ms,1739762989422000000,1739763049489000000,0
jps.app.storage.content.reader.load.component.ms,1739762989422000000,1739763049489000000,2
workspaceModel.save.cache.to.file.ms,1739762989422000000,1739763049489000000,53
jps.save.global.entities.ms,1739762989422000000,1739763049489000000,33
workspaceModel.sync.entities.ms,1739762989422000000,1739763049489000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1739762989422000000,1739763049489000000,0
jps.global.handle.changed.events.ms,1739762989422000000,1739763049489000000,0
jps.global.handle.before.change.events.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1739762989422000000,1739763049489000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1739762989422000000,1739763049489000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1739762989422000000,1739763049489000000,0
jps.project.serializers.load.ms,1739762989422000000,1739763049489000000,18
jps.storage.jps.conf.reader.load.component.ms,1739762989422000000,1739763049489000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1739762989422000000,1739763049489000000,13
jps.global.get.library.ms,1739762989422000000,1739763049489000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1739762989422000000,1739763049489000000,2
