# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxThreadCount,1740021063557000000,1740021123632000000,140
JVM.totalTimeAtSafepointsMs,1740021063557000000,1740021123632000000,273
JVM.GC.collectionTimesMs,1740021063557000000,1740021123632000000,256
JVM.totalTimeToSafepointsMs,1740021063557000000,1740021123632000000,34
JVM.GC.collections,1740021063557000000,1740021123632000000,46
JVM.threadCount,1740021063557000000,1740021123632000000,140
JVM.totalCpuTimeMs,1740021063557000000,1740021123632000000,59650
JVM.totalBytesAllocated,1740021063557000000,1740021123632000000,2365882120
JVM.maxHeapBytes,1740021063557000000,1740021123632000000,2147483648
JVM.totalSafepointCount,1740021063557000000,1740021123632000000,216
JVM.newThreadsCount,1740021063557000000,1740021123632000000,151
JVM.usedHeapBytes,1740021063557000000,1740021123632000000,508526480
JVM.usedNativeBytes,1740021063557000000,1740021123632000000,429784792
OS.loadAverage,1740021063557000000,1740021123632000000,1.2265625
JVM.totalDirectByteBuffersBytes,1740021063557000000,1740021123632000000,261352515
writeAction.count,1740021063557000000,1740021123632000000,80
parser.JAVA.time.ns,1740021063557000000,1740021123632000000,27516746
parser.XML.size.bytes,1740021063557000000,1740021123632000000,553184
lexer.IgnoreLang.time.ns,1740021063557000000,1740021123632000000,34694
writeAction.wait.ms,1740021063557000000,1740021123632000000,28
DiskQueryRelay.taskExecutionTotalTimeUs,1740021063557000000,1740021123632000000,240562
lexer.JAVA.time.ns,1740021063557000000,1740021123632000000,11173118
lexer.XML.size.bytes,1740021063557000000,1740021123632000000,553184
parser.JAVA.size.bytes,1740021063557000000,1740021123632000000,2400
lexer.JAVA.size.bytes,1740021063557000000,1740021123632000000,2400
writeAction.median.wait.ms,1740021063557000000,1740021123632000000,0
lexer.IgnoreLang.size.bytes,1740021063557000000,1740021123632000000,0
parser.IgnoreLang.time.ns,1740021063557000000,1740021123632000000,1130299
parser.XML.time.ns,1740021063557000000,1740021123632000000,164679101
DiskQueryRelay.taskWaitingTotalTimeUs,1740021063557000000,1740021123632000000,352823
lexer.XML.time.ns,1740021063557000000,1740021123632000000,50559439
parser.IgnoreLang.size.bytes,1740021063557000000,1740021123632000000,0
DiskQueryRelay.tasksExecuted,1740021063557000000,1740021123632000000,4456
writeAction.max.wait.ms,1740021063557000000,1740021123632000000,10
DiskQueryRelay.tasksRequested,1740021063557000000,1740021123632000000,4462
VFS.contentStorage.recordsStoredSize,1740021063557000000,1740021123632000000,1294
VFS.contentStorage.recordsStored,1740021063557000000,1740021123632000000,2
VFS.contentStorage.recordsUncompressedSize,1740021063557000000,1740021123632000000,1294
VFS.contentStorage.recordsReadDecompressed,1740021063557000000,1740021123632000000,7
VFS.contentStorage.recordsDeduplicated,1740021063557000000,1740021123632000000,4
VFS.invertedFileNameIndex.requests,1740021063557000000,1740021123632000000,12
VFS.fileChildByName,1740021063557000000,1740021123632000000,11693
VFS.fileByIdCache.hits,1740021063557000000,1740021123632000000,3
VFS.contentStorage.recordsRead,1740021063557000000,1740021123632000000,37
VFS.fileByIdCache.misses,1740021063557000000,1740021123632000000,273
FileNameCache.queries,1740021063557000000,1740021123632000000,737344
VFS.contentStorage.recordsReadSize,1740021063557000000,1740021123632000000,454896
VFS.contentStorage.recordsStoredCompressed,1740021063557000000,1740021123632000000,0
FileNameCache.totalMisses,1740021063557000000,1740021123632000000,32704
VFS.contentStorage.recordsDecompressionTimeUs,1740021063557000000,1740021123632000000,1072
ReadAction.executionsCount,1740021063557000000,1740021123632000000,146131
AWTEventQueue.dispatchTime90PNs,1740021063557000000,1740021123632000000,0
NonBlockingReadAction.failedExecutionsCount,1740021063557000000,1740021123632000000,2
AWTEventQueue.dispatchTimeTotalNS,1740021063557000000,1740021123632000000,7676682370
FlushQueue.queueSize90P,1740021063557000000,1740021123632000000,0
NonBlockingReadAction.failedExecutionTimeUs,1740021063557000000,1740021123632000000,5014
FlushQueue.waitingTime90PNs,1740021063557000000,1740021123632000000,0
NonBlockingReadAction.finalizedExecutionsCount,1740021063557000000,1740021123632000000,139
NonBlockingReadAction.finalizedExecutionTimeUs,1740021063557000000,1740021123632000000,342827
FlushQueue.executionTimeAvgNs,1740021063557000000,1740021123632000000,0.0
FlushQueue.waitingTimeAvgNs,1740021063557000000,1740021123632000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1740021063557000000,1740021123632000000,0
AWTEventQueue.dispatchTimeAvgNs,1740021063557000000,1740021123632000000,0.0
FlushQueue.queueSizeAvg,1740021063557000000,1740021123632000000,0.0
AWTEventQueue.eventsDispatched,1740021063557000000,1740021123632000000,0
FlushQueue.waitingTimeMaxNs,1740021063557000000,1740021123632000000,0
FlushQueue.tasksExecuted,1740021063557000000,1740021123632000000,0
FlushQueue.executionTimeMaxNs,1740021063557000000,1740021123632000000,0
FlushQueue.executionTime90PNs,1740021063557000000,1740021123632000000,0
WriteAction.executionsCount,1740021063557000000,1740021123632000000,80
FlushQueue.queueSizeMax,1740021063557000000,1740021123632000000,0
Indexes.stubs.lookupDurationMaxMs,1740021063557000000,1740021123632000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1740021063557000000,1740021123632000000,2
IndexesFlusher.totalFlushesRetried,1740021063557000000,1740021123632000000,0
Indexing.totalTimeIndexersSleptMs,1740021063557000000,1740021123632000000,0
Indexes.allKeys.lookupDurationMaxMs,1740021063557000000,1740021123632000000,0.0
Indexes.stubs.lookupDuration90PMs,1740021063557000000,1740021123632000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1740021063557000000,1740021123632000000,8
Indexes.entries.lookupDuration90PMs,1740021063557000000,1740021123632000000,0.0
Indexing.writesQueuedMin,1740021063557000000,1740021123632000000,9223372036854775807
Indexing.cache.totalCacheEvicted,1740021063557000000,1740021123632000000,792
Indexes.entries.lookups,1740021063557000000,1740021123632000000,44
Indexes.entries.lookupDurationMaxMs,1740021063557000000,1740021123632000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1740021063557000000,1740021123632000000,7
Indexes.entries.lookupDurationAvgMs,1740021063557000000,1740021123632000000,0.0
Indexes.stubs.lookupDurationAvgMs,1740021063557000000,1740021123632000000,0.0
Indexes.stubs.lookups,1740021063557000000,1740021123632000000,287
IndexesFlusher.totalFlushes,1740021063557000000,1740021123632000000,59
Indexes.allKeys.lookupDurationAvgMs,1740021063557000000,1740021123632000000,0.0
Indexes.allKeys.lookupDuration90PMs,1740021063557000000,1740021123632000000,0.0
IndexesFlusher.totalFlushingTimeUs,1740021063557000000,1740021123632000000,311551
Indexing.cache.totalCacheAccesses,1740021063557000000,1740021123632000000,1002
IndexesFlusher.totalContentionQuotaSpent,1740021063557000000,1740021123632000000,0
Indexes.allKeys.lookups,1740021063557000000,1740021123632000000,0
Indexing.cache.totalCacheMisses,1740021063557000000,1740021123632000000,792
Indexing.writer_1.totalTimeSpentWritingMs,1740021063557000000,1740021123632000000,4
Indexing.writesQueuedMax,1740021063557000000,1740021123632000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactManagerBridge.commit.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1740021063557000000,1740021123632000000,5
compiler.ArtifactManagerBridge.findArtifact.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1740021063557000000,1740021123632000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1740021063557000000,1740021123632000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1740021063557000000,1740021123632000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1740021063557000000,1740021123632000000,0
FilePageCacheLockFree.totalBytesWritten,1740021063557000000,1740021123632000000,0
FilePageCache.pageLoads,1740021063557000000,1740021123632000000,252
FilePageCache.pageFastCacheHits,1740021063557000000,1740021123632000000,6558
StorageLockContext.competingThreads.avg,1740021063557000000,1740021123632000000,0.0
StreamlinedBlobStorage.recordsAllocated,1740021063557000000,1740021123632000000,63791
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1740021063557000000,1740021123632000000,257974272
FilePageCacheLockFree.totalPagesWritten,1740021063557000000,1740021123632000000,0
FilePageCacheLockFree.totalPagesHandedOver,1740021063557000000,1740021123632000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1740021063557000000,1740021123632000000,0
FilePageCacheLockFree.totalPagesReadMs,1740021063557000000,1740021123632000000,0
FilePageCache.pageHits,1740021063557000000,1740021123632000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1740021063557000000,1740021123632000000,936110
FilePageCache.maxRegisteredFiles,1740021063557000000,1740021123632000000,550
FileChannelInterruptsRetryer.totalRetriedAttempts,1740021063557000000,1740021123632000000,0
