# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.processFileSets.ms,1740391203263000000,1740391263338000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.full.replace.project.model.ms,1740391203263000000,1740391263338000000,2
workspaceModel.replace.project.model.ms,1740391203263000000,1740391263338000000,0
workspaceModel.on.before.changed.ms,1740391203263000000,1740391263338000000,13
workspaceModel.check.recursive.update.ms,1740391203263000000,1740391263338000000,2
workspaceModel.cachedValueWithParameters.total.get.count,1740391203263000000,1740391263338000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1740391203263000000,1740391263338000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1740391203263000000,1740391263338000000,20
workspaceModel.update.unloaded.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1740391203263000000,1740391263338000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1740391203263000000,1740391263338000000,106
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1740391203263000000,1740391263338000000,0
workspaceModel.init.bridges.ms,1740391203263000000,1740391263338000000,30
workspaceModel.cachedValueWithParameters.from.cache.count,1740391203263000000,1740391263338000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1740391203263000000,1740391263338000000,3
workspaceModel.initializing.ms,1740391203263000000,1740391263338000000,30
workspaceModel.pre.handlers.ms,1740391203263000000,1740391263338000000,1
workspaceModel.loading.from.cache.ms,1740391203263000000,1740391263338000000,143
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1740391203263000000,1740391263338000000,9
workspaceModel.cachedValue.total.get.count,1740391203263000000,1740391263338000000,104
workspaceModel.collect.changes.ms,1740391203263000000,1740391263338000000,0
workspaceModel.cachedValueWithParameters.clear.count,1740391203263000000,1740391263338000000,0
workspaceModel.cachedValue.calculated.count,1740391203263000000,1740391263338000000,11
workspaceModel.workspaceFileIndexData.init.ms,1740391203263000000,1740391263338000000,60
workspaceModel.workspaceFileIndexData.instances.count,1740391203263000000,1740391263338000000,1
workspaceModel.loading.total.ms,1740391203263000000,1740391263338000000,149
workspaceModel.on.changed.ms,1740391203263000000,1740391263338000000,13
workspaceModel.cachedValue.clear.count,1740391203263000000,1740391263338000000,0
workspaceModel.to.snapshot.ms,1740391203263000000,1740391263338000000,0
workspaceModel.updates.precise.ms,1740391203263000000,1740391263338000000,7
VFS.contentStorage.recordsDecompressionTimeUs,1740391203263000000,1740391263338000000,0
VFS.contentStorage.recordsReadDecompressed,1740391203263000000,1740391263338000000,0
VFS.contentStorage.recordsRead,1740391203263000000,1740391263338000000,3
VFS.contentStorage.recordsDeduplicated,1740391203263000000,1740391263338000000,0
VFS.fileByIdCache.misses,1740391203263000000,1740391263338000000,41
VFS.contentStorage.recordsStoredSize,1740391203263000000,1740391263338000000,0
VFS.contentStorage.recordsStoredCompressed,1740391203263000000,1740391263338000000,0
VFS.contentStorage.recordsReadSize,1740391203263000000,1740391263338000000,4032
VFS.fileChildByName,1740391203263000000,1740391263338000000,2341
VFS.contentStorage.recordsStored,1740391203263000000,1740391263338000000,0
VFS.fileByIdCache.hits,1740391203263000000,1740391263338000000,0
