# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsReadSize,1739763277388000000,1739763337392000000,222483
VFS.fileByIdCache.hits,1739763277388000000,1739763337392000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1739763277388000000,1739763337392000000,2131
FileNameCache.totalMisses,1739763277388000000,1739763337392000000,44608
VFS.fileByIdCache.misses,1739763277388000000,1739763337392000000,58
VFS.contentStorage.recordsStoredSize,1739763277388000000,1739763337392000000,0
FileNameCache.queries,1739763277388000000,1739763337392000000,623616
VFS.invertedFileNameIndex.requests,1739763277388000000,1739763337392000000,2
VFS.fileChildByName,1739763277388000000,1739763337392000000,1341
VFS.contentStorage.recordsDeduplicated,1739763277388000000,1739763337392000000,0
VFS.contentStorage.recordsUncompressedSize,1739763277388000000,1739763337392000000,0
VFS.contentStorage.recordsRead,1739763277388000000,1739763337392000000,11
VFS.contentStorage.recordsReadDecompressed,1739763277388000000,1739763337392000000,2
VFS.contentStorage.recordsStored,1739763277388000000,1739763337392000000,0
VFS.contentStorage.recordsStoredCompressed,1739763277388000000,1739763337392000000,0
parser.XML.size.bytes,1739763277388000000,1739763337392000000,218145
DiskQueryRelay.taskExecutionTotalTimeUs,1739763277388000000,1739763337392000000,4145
writeAction.wait.ms,1739763277388000000,1739763337392000000,2
parser.JAVA.time.ns,1739763277388000000,1739763337392000000,14118591
lexer.JAVA.size.bytes,1739763277388000000,1739763337392000000,800
writeAction.count,1739763277388000000,1739763337392000000,11
DiskQueryRelay.tasksRequested,1739763277388000000,1739763337392000000,58
lexer.JAVA.time.ns,1739763277388000000,1739763337392000000,5728556
writeAction.max.wait.ms,1739763277388000000,1739763337392000000,1
DiskQueryRelay.tasksExecuted,1739763277388000000,1739763337392000000,58
DiskQueryRelay.taskWaitingTotalTimeUs,1739763277388000000,1739763337392000000,24423
lexer.XML.size.bytes,1739763277388000000,1739763337392000000,218145
parser.JAVA.size.bytes,1739763277388000000,1739763337392000000,800
parser.XML.time.ns,1739763277388000000,1739763337392000000,82587996
writeAction.median.wait.ms,1739763277388000000,1739763337392000000,0
lexer.XML.time.ns,1739763277388000000,1739763337392000000,25931080
compiler.ArtifactManagerBridge.commit.ms,1739763277388000000,1739763337392000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1739763277388000000,1739763337392000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1739763277388000000,1739763337392000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1739763277388000000,1739763337392000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1739763277388000000,1739763337392000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1739763277388000000,1739763337392000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1739763277388000000,1739763337392000000,0
DirectByteBufferAllocator.hits,1739763277388000000,1739763337392000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1739763277388000000,1739763337392000000,478794
FilePageCache.capacityInBytes,1739763277388000000,1739763337392000000,503316478
FilePageCacheLockFree.totalHeapBytesReclaimed,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPagesAllocated,1739763277388000000,1739763337392000000,0
MappedFileStorage.totalPagesMapped,1739763277388000000,1739763337392000000,16
StorageLockContext.competingThreads.avg,1739763277388000000,1739763337392000000,0.0
StreamlinedBlobStorage.recordsDeleted,1739763277388000000,1739763337392000000,3
FilePageCacheLockFree.totalClosedStoragesReclaimed,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPagesReadMs,1739763277388000000,1739763337392000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1739763277388000000,1739763337392000000,238043136
MappedFileStorage.totalBytesMapped,1739763277388000000,1739763337392000000,202637312
FilePageCacheLockFree.totalNativeBytesReclaimed,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1739763277388000000,1739763337392000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1739763277388000000,1739763337392000000,0
StorageLockContext.competingThreads.90P,1739763277388000000,1739763337392000000,0
StreamlinedBlobStorage.recordsAllocated,1739763277388000000,1739763337392000000,35021
FilePageCache.disposedBuffers,1739763277388000000,1739763337392000000,3
FilePageCacheLockFree.totalBytesRead,1739763277388000000,1739763337392000000,0
MappedFileStorage.storages,1739763277388000000,1739763337392000000,16
FilePageCache.maxCacheSizeInBytes,1739763277388000000,1739763337392000000,238043136
FilePageCacheLockFree.totalHeapBytesAllocated,1739763277388000000,1739763337392000000,0
DirectByteBufferAllocator.misses,1739763277388000000,1739763337392000000,229
StorageLockContext.competingThreads.max,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPagesHandedOver,1739763277388000000,1739763337392000000,0
DirectByteBufferAllocator.disposed,1739763277388000000,1739763337392000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1739763277388000000,1739763337392000000,11926
FilePageCacheLockFree.totalPagesReclaimed,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1739763277388000000,1739763337392000000,0
FilePageCache.totalPageDisposalsUs,1739763277388000000,1739763337392000000,918
FilePageCacheLockFree.totalBytesRequested,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPagesWritten,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPagesWriteMs,1739763277388000000,1739763337392000000,0
FilePageCache.totalPageLoadsUs,1739763277388000000,1739763337392000000,178909
FilePageCacheLockFree.housekeeperTimeSpentMs,1739763277388000000,1739763337392000000,0
FilePageCache.maxRegisteredFiles,1739763277388000000,1739763337392000000,535
FilePageCacheLockFree.totalPagesRequested,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1739763277388000000,1739763337392000000,0
FilePageCache.pageLoads,1739763277388000000,1739763337392000000,232
FilePageCacheLockFree.totalBytesWritten,1739763277388000000,1739763337392000000,0
FilePageCacheLockFree.nativeBytesInUse,1739763277388000000,1739763337392000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1739763277388000000,1739763337392000000,2494051
FilePageCache.uncachedFileAccess,1739763277388000000,1739763337392000000,134
FilePageCacheLockFree.heapBytesInUse,1739763277388000000,1739763337392000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1739763277388000000,1739763337392000000,0
FilePageCache.pageHits,1739763277388000000,1739763337392000000,0
FilePageCache.pageFastCacheHits,1739763277388000000,1739763337392000000,4164
FilePageCacheLockFree.housekeeperTurnsSkipped,1739763277388000000,1739763337392000000,0
StreamlinedBlobStorage.recordsRelocated,1739763277388000000,1739763337392000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1739763277388000000,1739763337392000000,0
DirectByteBufferAllocator.reclaimed,1739763277388000000,1739763337392000000,3
cacheStateStorage.get.counter,1739763277388000000,1739763337392000000,24
cacheStateStorage.set.counter,1739763277388000000,1739763337392000000,3
cacheStateStorage.set.duration,1739763277388000000,1739763337392000000,8
cacheStateStorage.get.duration,1739763277388000000,1739763337392000000,50
Indexes.entries.lookups,1739763277388000000,1739763337392000000,6
IndexesFlusher.totalFlushingTimeUs,1739763277388000000,1739763337392000000,333992
Indexes.entries.lookupDurationAvgMs,1739763277388000000,1739763337392000000,1.0
Indexing.writer_1.totalTimeSpentWritingMs,1739763277388000000,1739763337392000000,0
Indexes.allKeys.lookupDurationAvgMs,1739763277388000000,1739763337392000000,0.0
Indexing.totalTimeIndexersSleptMs,1739763277388000000,1739763337392000000,0
Indexing.writesQueuedMin,1739763277388000000,1739763337392000000,0
Indexing.writesQueuedMax,1739763277388000000,1739763337392000000,0
Indexes.allKeys.lookupDuration90PMs,1739763277388000000,1739763337392000000,0.0
Indexes.entries.lookupDuration90PMs,1739763277388000000,1739763337392000000,2.0
Indexes.allKeys.lookupDurationMaxMs,1739763277388000000,1739763337392000000,0.0
Indexes.allKeys.lookups,1739763277388000000,1739763337392000000,0
Indexing.cache.totalCacheEvicted,1739763277388000000,1739763337392000000,58
Indexing.writer_3.totalTimeSpentWritingMs,1739763277388000000,1739763337392000000,0
IndexesFlusher.totalContentionQuotaSpent,1739763277388000000,1739763337392000000,0
IndexesFlusher.totalFlushesRetried,1739763277388000000,1739763337392000000,0
IndexesFlusher.totalFlushes,1739763277388000000,1739763337392000000,59
Indexes.stubs.lookupDurationAvgMs,1739763277388000000,1739763337392000000,1.2857142857142858
Indexes.stubs.lookups,1739763277388000000,1739763337392000000,42
Indexing.cache.totalCacheMisses,1739763277388000000,1739763337392000000,58
Indexing.writer_2.totalTimeSpentWritingMs,1739763277388000000,1739763337392000000,0
Indexes.stubs.lookupDuration90PMs,1739763277388000000,1739763337392000000,1.0
Indexing.writer_0.totalTimeSpentWritingMs,1739763277388000000,1739763337392000000,0
Indexes.stubs.lookupDurationMaxMs,1739763277388000000,1739763337392000000,41.0
Indexes.entries.lookupDurationMaxMs,1739763277388000000,1739763337392000000,2.0
Indexing.cache.totalCacheAccesses,1739763277388000000,1739763337392000000,63
Indexing.writesQueuedAvg,1739763277388000000,1739763337392000000,0.0
workspaceModel.cachedValueWithParameters.calculated.count,1739763277388000000,1739763337392000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739763277388000000,1739763337392000000,2
workspaceModel.loading.from.cache.ms,1739763277388000000,1739763337392000000,116
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739763277388000000,1739763337392000000,0
workspaceModel.updates.precise.ms,1739763277388000000,1739763337392000000,5
workspaceModel.cachedValueWithParameters.total.get.count,1739763277388000000,1739763337392000000,0
workspaceModel.updates.count,1739763277388000000,1739763337392000000,4
workspaceModel.cachedValue.total.get.count,1739763277388000000,1739763337392000000,154
workspaceModel.full.replace.project.model.ms,1739763277388000000,1739763337392000000,3
workspaceModel.cachedValue.calculated.count,1739763277388000000,1739763337392000000,11
workspaceModel.pre.handlers.ms,1739763277388000000,1739763337392000000,1
workspaceModel.workspaceFileIndexData.instances.count,1739763277388000000,1739763337392000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1739763277388000000,1739763337392000000,0
workspaceModel.cachedValue.clear.count,1739763277388000000,1739763337392000000,0
workspaceModel.check.recursive.update.ms,1739763277388000000,1739763337392000000,1
workspaceModel.loading.total.ms,1739763277388000000,1739763337392000000,121
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739763277388000000,1739763337392000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739763277388000000,1739763337392000000,107
workspaceModel.entityStorageSnapshotImpl.instances.count,1739763277388000000,1739763337392000000,21
