# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1740023702717000000,1740023762791000000,5
workspaceModel.updates.precise.ms,1740023702717000000,1740023762791000000,5
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1740023702717000000,1740023762791000000,0
workspaceModel.collect.changes.ms,1740023702717000000,1740023762791000000,0
workspaceModel.on.before.changed.ms,1740023702717000000,1740023762791000000,21
workspaceModel.pre.handlers.ms,1740023702717000000,1740023762791000000,1
workspaceModel.on.changed.ms,1740023702717000000,1740023762791000000,33
workspaceModel.entityStorageSnapshotImpl.instances.count,1740023702717000000,1740023762791000000,23
workspaceModel.init.bridges.ms,1740023702717000000,1740023762791000000,36
workspaceModel.cachedValue.from.cache.count,1740023702717000000,1740023762791000000,609
workspaceModel.updates.count,1740023702717000000,1740023762791000000,4
workspaceModel.cachedValueWithParameters.clear.count,1740023702717000000,1740023762791000000,0
workspaceModel.updates.ms,1740023702717000000,1740023762791000000,66
workspaceModel.to.snapshot.ms,1740023702717000000,1740023762791000000,0
workspaceModel.check.recursive.update.ms,1740023702717000000,1740023762791000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1740023702717000000,1740023762791000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1740023702717000000,1740023762791000000,39
workspaceModel.full.replace.project.model.ms,1740023702717000000,1740023762791000000,10
workspaceModel.loading.from.cache.ms,1740023702717000000,1740023762791000000,122
workspaceModel.cachedValue.total.get.count,1740023702717000000,1740023762791000000,632
workspaceModel.cachedValue.calculated.count,1740023702717000000,1740023762791000000,23
workspaceModel.cachedValue.clear.count,1740023702717000000,1740023762791000000,2
workspaceModel.workspaceFileIndexData.getPackageName.ms,1740023702717000000,1740023762791000000,12
workspaceModel.loading.total.ms,1740023702717000000,1740023762791000000,128
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1740023702717000000,1740023762791000000,0
workspaceModel.workspaceFileIndexData.init.ms,1740023702717000000,1740023762791000000,46
workspaceModel.update.unloaded.entities.ms,1740023702717000000,1740023762791000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1740023702717000000,1740023762791000000,0
workspaceModel.workspaceFileIndexData.instances.count,1740023702717000000,1740023762791000000,1
